,hotel_id,hotel_name,price,n_star,no_of_reviews,amenities
0,1,Roseate House New Delhi,"4,614",5 of 5 bubbles,"2,221","Free Wifi , Free parking "
1,2,The Roseate New Delhi,"8,124",4.5 of 5 bubbles,"1,921","Free Wifi , Free parking "
2,3,Radisson Blu Plaza Delhi Airport,"3,708",4.5 of 5 bubbles,"7,072","Free Wifi , Free parking "
3,4,The Muse Sarovar Portico New Delhi Kapashera,"2,292",5 of 5 bubbles,953,"Free Wifi , Free parking "
4,5,Hotel Novotel New Delhi Aerocity,"2,840",4.5 of 5 bubbles,"2,727","Free Wifi , Free parking "
5,6,"Pride Plaza Hotel Aerocity, New Delhi","2,576",4.5 of 5 bubbles,"5,241","Free Wifi , Free parking "
6,7,"Taj Palace, New Delhi","4,275",4.5 of 5 bubbles,"4,133","Free parking , Pool "
7,8,The Park New Delhi,"3,898",4 of 5 bubbles,"4,821","Free parking , Pool "
8,9,The Claridges Hotel,"5,043",4.5 of 5 bubbles,"4,134","Free parking , Pool "
9,10,Vivanta New Delhi Dwarka,"3,333",4.5 of 5 bubbles,"2,022","Free Wifi , Free parking "
10,11,Piccadily Hotel,"4,090",4 of 5 bubbles,"2,095","Free parking , Pool "
11,12,Andaz Delhi,"4,590",5 of 5 bubbles,"3,375","Free Wifi , Free parking "
12,13,Eros Hotel,"4,880",4.5 of 5 bubbles,"2,829","Free parking , Pool "
13,14,"Lemon Tree Premier, Delhi Airport","2,576",4.5 of 5 bubbles,"4,064","Free Wifi , Free parking "
14,15,Hilton Garden Inn New Delhi / Saket,"4,899",4.5 of 5 bubbles,"2,067","Free Wifi , Free parking "
15,16,ibis New Delhi Aerocity,"1,880",4 of 5 bubbles,"2,393","Free Wifi , Free parking "
16,17,Holiday Inn New Delhi International Airport,"3,625",4.5 of 5 bubbles,"3,029","Free Wifi , Free parking "
17,18,"Shangri-La's - Eros Hotel, New Delhi","5,850",4.5 of 5 bubbles,"4,441","Free Wifi , Free parking "
18,19,"The Leela Ambience Convention Hotel, Delhi","5,285",5 of 5 bubbles,"4,172","Free parking , Pool "
19,20,Holiday Inn Express New Delhi International Airport T3,"6,499",3.5 of 5 bubbles,788,"Free Wifi , Restaurant "
20,21,Taurus Sarovar Portico,"2,215",4 of 5 bubbles,890,"Free Wifi , Free parking "
21,22,The Umrao,"3,720",4.5 of 5 bubbles,926,"Free Wifi , Free parking "
22,23,Radisson Blu Hotel New Delhi Paschim Vihar,"3,520",4.5 of 5 bubbles,"2,514","Free Wifi , Free parking "
23,24,Hotel Amax Inn,"1,125",4 of 5 bubbles,"1,094","Free Wifi , Restaurant "
24,25,Park Inn By Radisson New Delhi IP Extension,"2,304",4 of 5 bubbles,740,"Free Wifi , Free parking "
25,26,"Red Fox Hotel, Delhi Airport","2,529",4.5 of 5 bubbles,"3,209","Free Wifi , Free parking "
26,27,Park Plaza Delhi CBD Shahdara,"3,800",4.5 of 5 bubbles,"1,770","Free Wifi , Free parking "
27,28,Hotel Delhi Aerocity,"1,436",4 of 5 bubbles,734,"Free Wifi , Free parking "
28,29,Park Inn by Radisson New Delhi Lajpat Nagar,"3,599",4 of 5 bubbles,208,"Free Wifi , Free parking "
29,30,WelcomHotel Dwarka,"75,858",4.5 of 5 bubbles,"4,109","Free parking , Pool "
30,31,Pullman New Delhi Aerocity,"4,500",5 of 5 bubbles,"3,165","Free Wifi , Free parking "
31,32,JW Marriott Hotel New Delhi Aerocity,"6,000",4.5 of 5 bubbles,"3,941","Free parking , Pool "
32,33,Maidens Hotel,"4,500",4.5 of 5 bubbles,"1,614","Free parking , Pool "
33,34,Sheraton New Delhi Hotel,"5,950",4.5 of 5 bubbles,"2,970","Free parking , Pool "
34,35,"The Oberoi, New Delhi","15,500",4.5 of 5 bubbles,"2,594","Free Wifi , Free parking "
35,36,The Leela Palace New Delhi,"13,500",5 of 5 bubbles,"3,774","Free parking , Pool "
36,37,Aloft New Delhi Aerocity,"3,600",4.5 of 5 bubbles,786,"Free Wifi , Free parking "
37,38,Ginger East Delhi,"2,249",4.5 of 5 bubbles,703,"Free Wifi , Free parking "
38,39,The Lodhi,"15,999",4.5 of 5 bubbles,971,"Free Wifi , Free parking "
39,40,The Lalit New Delhi,"9,138",4.5 of 5 bubbles,"9,043","Free Wifi , Free parking "
40,41,Le Meridien New Delhi,"5,750",4.5 of 5 bubbles,"4,579","Free parking , Pool "
41,42,Hyatt Regency Delhi,"6,162",4.5 of 5 bubbles,"3,735","Free Wifi , Pool "
42,43,The Suryaa New Delhi,"4,400",4.5 of 5 bubbles,"4,082","Free parking , Pool "
43,44,Hotel City Star,"1,900",4.5 of 5 bubbles,"1,742","Free Wifi , Restaurant "
44,45,Inde Hotel Cyber City,"2,024",4 of 5 bubbles,62,"Free Wifi , Free parking "
45,46,The Golden Palms Hotel & Spa,"2,453",3.5 of 5 bubbles,159,"Free Wifi , Free parking "
46,47,Hotel Ajanta,"1,758",4 of 5 bubbles,"2,284","Free Wifi , Restaurant "
47,48,"Ambassador, New Delhi - IHCL SeleQtions","5,000",4 of 5 bubbles,"1,389","Free Wifi , Free parking "
48,49,Fraser Suites New Delhi,"3,677",4 of 5 bubbles,425,"Free Wifi , Free parking "
49,50,Hotel LA,"2,603",4.5 of 5 bubbles,68,"Free Wifi , Free parking "
50,51,Hotel City Park,"4,358",3.5 of 5 bubbles,231,"Free parking , Pool "
51,52,Radisson Blu Hotel New Delhi Dwarka,"9,409",4.5 of 5 bubbles,"4,460","Free Wifi , Free parking "
52,53,The Muse Sarovar Portico,"2,675",4.5 of 5 bubbles,551,"Free Wifi , Free parking "
53,54,The Metropolitan Hotel & Spa,"8,595",4 of 5 bubbles,"2,497","Free parking , Pool "
54,55,OYO 12191 Hotel Airlift,445,3.5 of 5 bubbles,9,"Free Wifi , Free parking "
55,56,Colonel's Retreat,"2,189",4.5 of 5 bubbles,928,"Free Wifi , Free parking "
56,57,Treebo Tryst Royce,"1,772",4 of 5 bubbles,103,"Free Wifi , Free parking "
57,58,Radisson Blu Marina Connaught Place,"4,499",3.5 of 5 bubbles,"1,538","Free Wifi , Restaurant "
58,59,Airport Hotel,"2,001",3 of 5 bubbles,239,"Free Wifi , Restaurant "
59,60,Hotel Grand Godwin,"1,603",4 of 5 bubbles,"1,544","Free Wifi , Restaurant "
60,61,The Grand New Delhi,"3,057",4 of 5 bubbles,"2,091","Free Wifi , Free parking "
61,62,"ITC Maurya, a Luxury Collection Hotel, New Delhi","5,499",4.5 of 5 bubbles,"4,960",Spa 
62,63,Jaypee Vasant Continental,"4,099",4 of 5 bubbles,"1,065","Free parking , Pool "
63,64,Crowne Plaza New Delhi Mayur Vihar Noida,"3,684",4.5 of 5 bubbles,"1,198","Free Wifi , Free parking "
64,65,Holiday Inn New Delhi Mayur Vihar Noida,"3,510",4.5 of 5 bubbles,"1,157","Free Wifi , Free parking "
65,66,The Ashtan Sarovar Portico,"3,600",4 of 5 bubbles,546,"Free Wifi , Free parking "
66,67,"Four Points by Sheraton New Delhi, Airport Highway","2,700",4 of 5 bubbles,838,"Pool , Restaurant "
67,68,Hindustan by Backpackers Heaven,"1,007",4.5 of 5 bubbles,223,Free Wifi 
68,69,Hotel Prince Palace Deluxe,"1,256",4.5 of 5 bubbles,208,"Free Wifi , Restaurant "
69,70,Hotel Connaught Royale,"4,900",4 of 5 bubbles,102,"Free Wifi , Restaurant "
